key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
100_2009_000004,item,statute,CHAPTER 1-DEFINITIONS,TITLE 10-ARMED FORCES,2739,802,99,0,1,116,0,29,118,16,63
100_2009_000122,item,statute,CHAPTER 2-DEPARTMENT OF DEFENSE,TITLE 10-ARMED FORCES,11204,1882,144,0,15,364,4,61,73,24,42
100_2009_000502,item,statute,CHAPTER 3-GENERAL POWERS AND FUNCTIONS,TITLE 10-ARMED FORCES,8384,1595,153,0,23,217,0,24,38,15,12
100_2009_000743,item,statute,CHAPTER 4-OFFICE OF THE SECRETARY OF DEFENSE,TITLE 10-ARMED FORCES,7783,1154,106,0,28,246,6,18,27,10,11
100_2009_001018,item,statute,CHAPTER 5-JOINT CHIEFS OF STAFF,TITLE 10-ARMED FORCES,3750,817,112,0,6,113,0,13,7,6,7
100_2009_001138,item,statute,CHAPTER 6-COMBATANT COMMANDS,TITLE 10-ARMED FORCES,5688,1052,125,0,11,211,6,13,16,11,10
100_2009_001361,item,statute,"CHAPTER 7-BOARDS, COUNCILS, AND COMMITTEES",TITLE 10-ARMED FORCES,7772,1587,149,0,17,266,1,18,22,13,16
100_2009_001645,item,statute,CHAPTER 8-DEFENSE AGENCIES AND DEPARTMENT OF DEFENSE FIELD ACTIVITIES,TITLE 10-ARMED FORCES,3095,743,134,2,10,86,2,5,7,4,4
100_2009_001744,item,statute,CHAPTER 9-DEFENSE BUDGET MATTERS,TITLE 10-ARMED FORCES,4603,837,165,0,16,127,6,21,8,4,7
100_2009_001888,item,statute,CHAPTER 11-RESERVE COMPONENTS,TITLE 10-ARMED FORCES,50,33,50,0,1,0,0,3,0,3,0
100_2009_001890,item,statute,CHAPTER 13-THE MILITIA,TITLE 10-ARMED FORCES,265,137,66,0,2,14,0,1,3,1,1
100_2009_001907,item,statute,CHAPTER 15-INSURRECTION,TITLE 10-ARMED FORCES,344,150,73,0,6,3,0,0,14,0,5
100_2009_001917,item,statute,CHAPTER 17-ARMING OF AMERICAN VESSELS,TITLE 10-ARMED FORCES,138,92,58,0,1,3,0,1,1,1,1
100_2009_001922,item,statute,CHAPTER 18-MILITARY SUPPORT FOR CIVILIAN LAW ENFORCEMENT AGENCIES,TITLE 10-ARMED FORCES,3254,776,105,0,12,99,8,14,10,7,7
100_2009_002034,item,statute,CHAPTER 20-HUMANITARIAN AND OTHER ASSISTANCE,TITLE 10-ARMED FORCES,2714,716,79,0,10,112,1,1,2,1,2
100_2009_002157,item,statute,CHAPTER 21-DEPARTMENT OF DEFENSE INTELLIGENCE MATTERS,TITLE 10-ARMED FORCES,3396,901,118,2,15,119,6,7,5,4,2
100_2009_002294,item,statute,CHAPTER 22-NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY,TITLE 10-ARMED FORCES,2399,773,117,4,15,77,0,8,4,3,3
100_2009_002391,item,statute,CHAPTER 23-MISCELLANEOUS STUDIES AND REPORTS,TITLE 10-ARMED FORCES,4990,1141,95,0,11,234,0,7,39,4,10
100_2009_002638,item,statute,CHAPTER 31-ENLISTMENTS,TITLE 10-ARMED FORCES,5858,1227,132,0,23,137,6,31,42,17,21
