key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
490_2001_000003,item,statute,CHAPTER 1-ORGANIZATION,TITLE 49-TRANSPORTATION,12399,2440,239,0,15,465,5,35,18,17,11
490_2001_000484,item,statute,CHAPTER 3-GENERAL DUTIES AND POWERS,TITLE 49-TRANSPORTATION,8045,1869,140,3,29,284,2,16,46,13,24
490_2001_000801,item,statute,CHAPTER 5-SPECIAL AUTHORITY,TITLE 49-TRANSPORTATION,5395,1097,168,2,14,113,6,40,28,5,5
490_2001_000931,item,statute,CHAPTER 7-SURFACE TRANSPORTATION BOARD,TITLE 49-TRANSPORTATION,3928,1010,104,2,13,92,0,4,3,2,2
490_2001_001040,item,statute,CHAPTER 11-NATIONAL TRANSPORTATION SAFETY BOARD,TITLE 49-TRANSPORTATION,8435,1738,131,4,22,240,26,23,38,15,9
490_2001_001308,item,statute,CHAPTER 51-TRANSPORTATION OF HAZARDOUS MATERIAL,TITLE 49-TRANSPORTATION,12382,2193,192,0,28,440,47,23,127,15,14
490_2001_001777,item,statute,CHAPTER 53-MASS TRANSPORTATION,TITLE 49-TRANSPORTATION,34104,4491,200,0,37,1127,147,67,88,20,16
490_2001_002942,item,statute,CHAPTER 55-INTERMODAL TRANSPORTATION,TITLE 49-TRANSPORTATION,3873,1097,79,2,14,165,8,11,8,6,2
490_2001_003124,item,statute,CHAPTER 57-SANITARY FOOD TRANSPORTATION,TITLE 49-TRANSPORTATION,2108,512,126,0,14,47,15,7,3,4,3
490_2001_003186,item,statute,CHAPTER 59-INTERMODAL SAFE CONTAINER TRANSPORTATION,TITLE 49-TRANSPORTATION,2423,563,260,0,8,62,17,1,0,1,0
490_2001_003257,item,statute,CHAPTER 61-ONE-CALL NOTIFICATION PROGRAMS,TITLE 49-TRANSPORTATION,1774,538,74,0,8,70,11,2,1,2,1
490_2001_003338,item,statute,CHAPTER 101-GENERAL PROVISIONS,TITLE 49-TRANSPORTATION,649,325,45,0,2,32,0,1,22,1,9
490_2001_003373,item,statute,CHAPTER 105-JURISDICTION,TITLE 49-TRANSPORTATION,997,348,120,0,2,35,0,7,44,3,1
490_2001_003411,item,statute,CHAPTER 107-RATES,TITLE 49-TRANSPORTATION,6307,1254,272,3,18,124,11,35,47,9,9
490_2001_003557,item,statute,CHAPTER 109-LICENSING,TITLE 49-TRANSPORTATION,3587,781,187,0,7,94,9,2,99,2,4
490_2001_003659,item,statute,CHAPTER 111-OPERATIONS,TITLE 49-TRANSPORTATION,2960,789,147,4,16,77,2,4,29,4,6
490_2001_003757,item,statute,CHAPTER 113-FINANCE,TITLE 49-TRANSPORTATION,3221,725,220,2,9,64,3,4,42,4,5
490_2001_003833,item,statute,CHAPTER 115-FEDERAL-STATE RELATIONS,TITLE 49-TRANSPORTATION,661,203,70,0,2,15,0,1,0,1,0
490_2001_003851,item,statute,"CHAPTER 117-ENFORCEMENT: INVESTIGATIONS, RIGHTS, AND REMEDIES",TITLE 49-TRANSPORTATION,2407,491,127,0,7,52,4,1,16,1,9
490_2001_003911,item,statute,CHAPTER 119-CIVIL AND CRIMINAL PENALTIES,TITLE 49-TRANSPORTATION,1427,338,109,0,8,29,0,8,4,3,2
490_2001_003950,item,statute,CHAPTER 131-GENERAL PROVISIONS,TITLE 49-TRANSPORTATION,1485,578,70,0,3,69,0,4,22,4,14
490_2001_004023,item,statute,CHAPTER 133-ADMINISTRATIVE PROVISIONS,TITLE 49-TRANSPORTATION,1030,324,146,0,4,19,0,0,2,0,2
490_2001_004047,item,statute,CHAPTER 135-JURISDICTION,TITLE 49-TRANSPORTATION,3268,781,90,4,11,119,6,12,53,5,7
490_2001_004182,item,statute,CHAPTER 137-RATES AND THROUGH ROUTES,TITLE 49-TRANSPORTATION,5807,1204,194,0,13,153,7,7,37,6,6
490_2001_004349,item,statute,CHAPTER 139-REGISTRATION,TITLE 49-TRANSPORTATION,4988,1111,186,0,8,118,12,17,47,9,10
490_2001_004476,item,statute,CHAPTER 141-OPERATIONS OF CARRIERS,TITLE 49-TRANSPORTATION,1796,626,123,2,7,55,0,4,9,4,6
490_2001_004541,item,statute,CHAPTER 143-FINANCE,TITLE 49-TRANSPORTATION,2052,583,176,0,3,44,0,3,16,3,3
490_2001_004589,item,statute,CHAPTER 145-FEDERAL-STATE RELATIONS,TITLE 49-TRANSPORTATION,2441,653,85,0,5,82,0,6,4,5,1
490_2001_004677,item,statute,CHAPTER 147-ENFORCEMENT; INVESTIGATIONS; RIGHTS; REMEDIES,TITLE 49-TRANSPORTATION,4140,931,220,0,9,94,3,17,19,6,6
490_2001_004781,item,statute,CHAPTER 149-CIVIL AND CRIMINAL PENALTIES,TITLE 49-TRANSPORTATION,2609,609,132,0,14,58,2,16,7,3,3
490_2001_004855,item,statute,CHAPTER 151-GENERAL PROVISIONS,TITLE 49-TRANSPORTATION,294,167,25,0,3,17,0,0,2,0,1
490_2001_004876,item,statute,CHAPTER 153-JURISDICTION,TITLE 49-TRANSPORTATION,454,181,62,0,2,16,0,2,2,1,1
490_2001_004895,item,statute,CHAPTER 155-RATES,TITLE 49-TRANSPORTATION,528,207,133,0,6,11,0,1,0,1,0
490_2001_004913,item,statute,CHAPTER 157-OPERATIONS OF CARRIERS,TITLE 49-TRANSPORTATION,537,257,63,2,4,22,0,0,5,0,2
490_2001_004942,item,statute,"CHAPTER 159-ENFORCEMENT: INVESTIGATIONS, RIGHTS, AND REMEDIES",TITLE 49-TRANSPORTATION,1632,408,156,0,6,31,4,1,0,1,0
490_2001_004980,item,statute,CHAPTER 161-CIVIL AND CRIMINAL PENALTIES,TITLE 49-TRANSPORTATION,883,267,125,0,6,19,0,2,0,1,0
490_2001_005008,item,statute,CHAPTER 201-GENERAL,TITLE 49-TRANSPORTATION,9965,2082,160,2,40,272,18,11,37,6,12
490_2001_005323,item,statute,CHAPTER 203-SAFETY APPLIANCES,TITLE 49-TRANSPORTATION,1024,381,66,0,6,33,2,1,10,1,1
490_2001_005363,item,statute,CHAPTER 205-SIGNAL SYSTEMS,TITLE 49-TRANSPORTATION,531,213,99,0,5,15,0,0,5,0,3
