key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
130_2018_000002,item,statute,CHAPTER 1-ADMINISTRATION,TITLE 13-CENSUS,2907,857,199,2,22,51,3,2,45,1,32
130_2018_000078,item,statute,CHAPTER 3-COLLECTION AND PUBLICATION OF STATISTICS,TITLE 13-CENSUS,1551,535,123,5,13,47,0,0,2,0,2
130_2018_000144,item,statute,CHAPTER 5-CENSUSES,TITLE 13-CENSUS,1887,525,290,5,16,23,3,0,5,0,4
130_2018_000189,item,statute,CHAPTER 7-OFFENSES AND PENALTIES,TITLE 13-CENSUS,1472,409,182,3,10,17,1,3,1,1,1
130_2018_000220,item,statute,CHAPTER 9-COLLECTION AND PUBLICATION OF FOREIGN COMMERCE AND TRADE STATISTICS,TITLE 13-CENSUS,2171,686,216,0,7,44,4,1,3,1,2
130_2018_000272,item,statute,CHAPTER 10-EXCHANGE OF CENSUS INFORMATION,TITLE 13-CENSUS,264,119,108,0,2,3,0,0,0,0,0
040_2018_000002,item,statute,CHAPTER 1-THE FLAG,"TITLE 4-FLAG AND SEAL, SEAT OF GOVERNMENT, AND THE STATES",3048,893,356,0,10,39,0,1,3,1,2
040_2018_000052,item,statute,CHAPTER 2-THE SEAL,"TITLE 4-FLAG AND SEAL, SEAT OF GOVERNMENT, AND THE STATES",61,43,40,0,2,0,0,1,0,1,0
040_2018_000055,item,statute,CHAPTER 3-SEAT OF THE GOVERNMENT,"TITLE 4-FLAG AND SEAL, SEAT OF GOVERNMENT, AND THE STATES",107,66,50,0,3,0,0,0,0,0,0
040_2018_000059,item,statute,CHAPTER 4-THE STATES,"TITLE 4-FLAG AND SEAL, SEAT OF GOVERNMENT, AND THE STATES",4988,1175,121,0,26,128,15,3,0,1,0
040_2018_000214,item,statute,CHAPTER 5-OFFICIAL TERRITORIAL PAPERS,"TITLE 4-FLAG AND SEAL, SEAT OF GOVERNMENT, AND THE STATES",620,262,103,0,6,7,4,0,0,0,0
170_2018_000002,item,statute,CHAPTER 1-SUBJECT MATTER AND SCOPE OF COPYRIGHT,TITLE 17-COPYRIGHTS,61414,5746,353,0,26,1459,147,64,555,13,29
170_2018_001488,item,statute,CHAPTER 2-COPYRIGHT OWNERSHIP AND TRANSFER,TITLE 17-COPYRIGHTS,2083,538,143,0,5,39,0,2,21,2,6
170_2018_001533,item,statute,CHAPTER 3-DURATION OF COPYRIGHT,TITLE 17-COPYRIGHTS,3760,705,221,0,5,65,2,10,46,3,3
170_2018_001604,item,statute,"CHAPTER 4-COPYRIGHT NOTICE, DEPOSIT, AND REGISTRATION",TITLE 17-COPYRIGHTS,4575,958,199,0,12,96,12,13,69,4,11
170_2018_001713,item,statute,CHAPTER 5-COPYRIGHT INFRINGEMENT AND REMEDIES,TITLE 17-COPYRIGHTS,7726,1518,230,0,13,175,9,22,65,6,10
170_2018_001902,item,statute,CHAPTER 6-IMPORTATION AND EXPORTATION,TITLE 17-COPYRIGHTS,659,237,117,0,3,13,1,4,8,2,4
170_2018_001919,item,statute,CHAPTER 7-COPYRIGHT OFFICE,TITLE 17-COPYRIGHTS,2361,685,142,0,10,46,6,16,11,7,6
170_2018_001976,item,statute,CHAPTER 8-PROCEEDINGS BY COPYRIGHT ROYALTY JUDGES,TITLE 17-COPYRIGHTS,9533,1602,379,0,5,179,39,81,15,5,4
170_2018_002161,item,statute,CHAPTER 9-PROTECTION OF SEMICONDUCTOR CHIP PRODUCTS,TITLE 17-COPYRIGHTS,5046,1047,162,0,14,99,26,1,8,1,3
170_2018_002275,item,statute,CHAPTER 10-DIGITAL AUDIO RECORDING DEVICES AND MEDIA,TITLE 17-COPYRIGHTS,4267,1007,221,4,10,107,49,2,45,2,6
170_2018_002397,item,statute,CHAPTER 11-SOUND RECORDINGS AND MUSIC VIDEOS,TITLE 17-COPYRIGHTS,197,117,39,0,1,7,0,1,0,1,0
170_2018_002406,item,statute,CHAPTER 12-COPYRIGHT PROTECTION AND MANAGEMENT SYSTEMS,TITLE 17-COPYRIGHTS,5853,1248,101,0,5,170,14,6,13,3,6
170_2018_002582,item,statute,CHAPTER 13-PROTECTION OF ORIGINAL DESIGNS,TITLE 17-COPYRIGHTS,5312,1252,263,0,32,107,19,2,12,2,2
170_2018_002722,item,statute,CHAPTER 14-UNAUTHORIZED USE OF PRE-1972 SOUND RECORDINGS,TITLE 17-COPYRIGHTS,3983,812,105,0,1,123,0,54,1,8,1
