key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
060_2005_000002,item,statute,CHAPTER 1-HOMELAND SECURITY ORGANIZATION,TITLE 6-DOMESTIC SECURITY,49045,5653,318,35,177,2355,72,164,9,73,6
110_2005_000002,item,statute,CHAPTER 1-GENERAL PROVISIONS,TITLE 11-BANKRUPTCY,14252,2706,175,0,12,529,5,59,58,16,24
110_2005_000544,item,statute,CHAPTER 3-CASE ADMINISTRATION,TITLE 11-BANKRUPTCY,22171,2627,205,4,38,550,48,141,211,18,30
110_2005_001137,item,statute,"CHAPTER 5-CREDITORS, THE DEBTOR, AND THE ESTATE",TITLE 11-BANKRUPTCY,35180,3738,362,3,41,991,180,156,262,18,25
110_2005_002173,item,statute,CHAPTER 7-LIQUIDATION,TITLE 11-BANKRUPTCY,13575,1947,252,5,39,415,35,95,96,13,16
110_2005_002633,item,statute,CHAPTER 9-ADJUSTMENT OF DEBTS OF A MUNICIPALITY,TITLE 11-BANKRUPTCY,2303,657,93,3,20,70,10,31,5,4,3
110_2005_002727,item,statute,CHAPTER 11-REORGANIZATION,TITLE 11-BANKRUPTCY,16845,2044,160,4,45,459,43,73,73,9,20
110_2005_003236,item,statute,CHAPTER 12-ADJUSTMENT OF DEBTS OF A FAMILY FARMER OR FISHERMAN WITH REGULAR ANNUAL INCOME,TITLE 11-BANKRUPTCY,4824,869,86,2,19,151,28,34,38,5,11
110_2005_003409,item,statute,CHAPTER 13-ADJUSTMENT OF DEBTS OF AN INDIVIDUAL WITH REGULAR INCOME,TITLE 11-BANKRUPTCY,6897,1078,88,2,18,212,26,48,50,8,13
110_2005_003642,item,statute,CHAPTER 15-ANCILLARY AND OTHER CROSS-BORDER CASES,TITLE 11-BANKRUPTCY,4335,848,119,5,32,138,37,20,2,5,2
280_2005_000003,item,statute,CHAPTER 1-SUPREME COURT,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,268,135,86,0,6,0,0,3,2,2,1
280_2005_000010,item,statute,CHAPTER 3-COURTS OF APPEALS,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,2099,522,201,0,9,48,0,4,6,3,4
280_2005_000068,item,statute,CHAPTER 5-DISTRICT COURTS,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,10064,2786,108,0,65,589,0,3,4,2,4
280_2005_000723,item,statute,CHAPTER 6-BANKRUPTCY JUDGES,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,4248,950,148,0,9,117,6,7,16,6,10
