key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
060_2015_000002,item,statute,CHAPTER 1-HOMELAND SECURITY ORGANIZATION,TITLE 6-DOMESTIC SECURITY,110251,8766,318,46,299,5762,280,288,123,104,30
060_2015_006110,item,statute,CHAPTER 2-NATIONAL EMERGENCY MANAGEMENT,TITLE 6-DOMESTIC SECURITY,10561,2056,168,9,45,639,14,39,29,9,7
060_2015_006804,item,statute,CHAPTER 3-SECURITY AND ACCOUNTABILITY FOR EVERY PORT,TITLE 6-DOMESTIC SECURITY,10271,1930,111,8,38,551,8,14,2,5,2
060_2015_007402,item,statute,CHAPTER 4-TRANSPORTATION SECURITY,TITLE 6-DOMESTIC SECURITY,28489,3289,248,8,55,1528,50,55,8,15,5
060_2015_008994,item,statute,CHAPTER 5-BORDER INFRASTRUCTURE AND TECHNOLOGY MODERNIZATION,TITLE 6-DOMESTIC SECURITY,202,113,88,0,4,15,0,0,0,0,0
060_2015_009014,item,statute,CHAPTER 6-CYBERSECURITY,TITLE 6-DOMESTIC SECURITY,11615,1749,96,3,18,621,27,43,4,19,1
110_2015_000002,item,statute,CHAPTER 1-GENERAL PROVISIONS,TITLE 11-BANKRUPTCY,14261,2687,175,0,12,530,5,59,140,16,35
110_2015_000545,item,statute,CHAPTER 3-CASE ADMINISTRATION,TITLE 11-BANKRUPTCY,22044,2606,205,4,38,549,48,148,227,19,36
110_2015_001137,item,statute,"CHAPTER 5-CREDITORS, THE DEBTOR, AND THE ESTATE",TITLE 11-BANKRUPTCY,35424,3747,362,3,41,996,179,156,298,19,32
110_2015_002178,item,statute,CHAPTER 7-LIQUIDATION,TITLE 11-BANKRUPTCY,13874,1986,252,5,39,422,34,99,100,13,20
110_2015_002645,item,statute,CHAPTER 9-ADJUSTMENT OF DEBTS OF A MUNICIPALITY,TITLE 11-BANKRUPTCY,2305,659,93,3,20,70,10,31,5,4,3
110_2015_002739,item,statute,CHAPTER 11-REORGANIZATION,TITLE 11-BANKRUPTCY,16836,2047,160,4,45,459,41,72,77,8,23
110_2015_003248,item,statute,CHAPTER 12-ADJUSTMENT OF DEBTS OF A FAMILY FARMER OR FISHERMAN WITH REGULAR ANNUAL INCOME,TITLE 11-BANKRUPTCY,4824,869,86,2,19,151,28,34,39,5,12
110_2015_003421,item,statute,CHAPTER 13-ADJUSTMENT OF DEBTS OF AN INDIVIDUAL WITH REGULAR INCOME,TITLE 11-BANKRUPTCY,6906,1080,88,2,18,212,26,48,52,8,15
110_2015_003654,item,statute,CHAPTER 15-ANCILLARY AND OTHER CROSS-BORDER CASES,TITLE 11-BANKRUPTCY,4336,848,119,5,32,138,37,20,3,5,2
280_2015_000003,item,statute,CHAPTER 1-SUPREME COURT,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,268,135,86,0,6,0,0,3,0,2,0
280_2015_000010,item,statute,CHAPTER 3-COURTS OF APPEALS,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,2099,522,201,0,9,48,0,4,6,3,4
280_2015_000068,item,statute,CHAPTER 5-DISTRICT COURTS,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,9901,2751,108,0,65,578,0,3,4,2,4
280_2015_000712,item,statute,CHAPTER 6-BANKRUPTCY JUDGES,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,4249,950,148,0,9,117,6,7,16,6,10
280_2015_000839,item,statute,CHAPTER 7-UNITED STATES COURT OF FEDERAL CLAIMS,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,3397,739,106,0,10,84,5,13,22,6,8
280_2015_000934,item,statute,[CHAPTER 9-REPEALED],TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,0,0,0,0,1,0,0,0,0,0,0
280_2015_000936,item,statute,CHAPTER 11-COURT OF INTERNATIONAL TRADE,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,1029,330,99,0,8,21,1,4,1,3,1
280_2015_000966,item,statute,CHAPTER 13-ASSIGNMENT OF JUDGES TO OTHER COURTS,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,1428,301,213,0,7,20,0,3,5,1,5
