key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
280_1999_000003,item,statute,CHAPTER 1-SUPREME COURT,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,268,135,86,0,6,0,0,3,1,2,1
280_1999_000010,item,statute,CHAPTER 3-COURTS OF APPEALS,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,1819,459,201,0,9,38,0,4,6,3,4
280_1999_000058,item,statute,CHAPTER 5-DISTRICT COURTS,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,9564,2692,108,0,65,576,0,3,4,2,4
280_1999_000700,item,statute,CHAPTER 6-BANKRUPTCY JUDGES,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,3006,709,142,0,8,70,5,6,14,5,7
280_1999_000779,item,statute,CHAPTER 7-UNITED STATES COURT OF FEDERAL CLAIMS,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,2766,646,106,0,9,62,2,11,13,4,5
280_1999_000851,item,statute,[CHAPTER 9-REPEALED],TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,0,0,0,0,1,0,0,0,0,0,0
280_1999_000853,item,statute,CHAPTER 11-COURT OF INTERNATIONAL TRADE,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,1029,330,99,0,8,21,1,4,1,3,1
280_1999_000883,item,statute,CHAPTER 13-ASSIGNMENT OF JUDGES TO OTHER COURTS,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,1326,272,213,0,7,20,0,2,4,1,4
280_1999_000911,item,statute,CHAPTER 15-CONFERENCES AND COUNCILS OF JUDGES,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,2604,654,269,0,5,46,0,9,7,3,2
280_1999_000963,item,statute,CHAPTER 17-RESIGNATION AND RETIREMENT OF JUSTICES AND JUDGES,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,14996,1878,231,0,7,292,30,53,81,14,14
280_1999_001263,item,statute,CHAPTER 19-DISTRIBUTION OF REPORTS AND DIGESTS,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,365,161,87,0,5,5,0,0,1,0,1
280_1999_001274,item,statute,CHAPTER 21-GENERAL PROVISIONS APPLICABLE TO COURTS AND JUDGES,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,2702,728,240,0,13,63,1,6,58,3,35
280_1999_001351,item,statute,CHAPTER 23-CIVIL JUSTICE EXPENSE AND DELAY REDUCTION PLANS,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,2664,685,102,0,12,80,13,0,0,0,0
280_1999_001445,item,statute,CHAPTER 31-THE ATTORNEY GENERAL,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,5257,1277,285,0,33,106,0,12,51,10,28
280_1999_001585,item,statute,CHAPTER 33-FEDERAL BUREAU OF INVESTIGATION,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,1510,499,96,0,12,41,0,1,13,1,8
280_1999_001639,item,statute,CHAPTER 35-UNITED STATES ATTORNEYS,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,703,249,103,0,10,21,3,1,3,1,3
280_1999_001671,item,statute,CHAPTER 37-UNITED STATES MARSHALS SERVICE,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,1511,460,79,0,13,35,2,3,3,3,1
280_1999_001720,item,statute,CHAPTER 39-UNITED STATES TRUSTEES,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,2179,599,89,0,10,84,2,12,13,4,5
280_1999_001815,item,statute,CHAPTER 40-INDEPENDENT COUNSEL,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,7293,1387,167,0,9,161,20,11,9,6,3
280_1999_001987,item,statute,CHAPTER 41-ADMINISTRATIVE OFFICE OF UNITED STATES COURTS,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,4613,1197,236,0,12,94,1,31,31,16,16
280_1999_002094,item,statute,CHAPTER 42-FEDERAL JUDICIAL CENTER,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,2860,696,334,0,10,47,1,9,3,5,2
280_1999_002152,item,statute,CHAPTER 43-UNITED STATES MAGISTRATES,TITLE 28-JUDICIARY AND JUDICIAL PROCEDURE,4798,1088,296,0,9,68,9,9,17,6,10
