key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
130_2008_000002,item,statute,CHAPTER 1-ADMINISTRATION,TITLE 13-CENSUS,2680,789,199,2,22,42,3,2,42,1,29
130_2008_000069,item,statute,CHAPTER 3-COLLECTION AND PUBLICATION OF STATISTICS,TITLE 13-CENSUS,1551,535,123,5,13,47,0,0,2,0,2
130_2008_000135,item,statute,CHAPTER 5-CENSUSES,TITLE 13-CENSUS,1887,525,290,5,16,23,3,0,5,0,3
130_2008_000180,item,statute,CHAPTER 7-OFFENSES AND PENALTIES,TITLE 13-CENSUS,1472,409,182,3,10,17,1,3,0,1,0
130_2008_000211,item,statute,CHAPTER 9-COLLECTION AND PUBLICATION OF FOREIGN COMMERCE AND TRADE STATISTICS,TITLE 13-CENSUS,2171,686,216,0,7,44,4,1,3,1,2
130_2008_000263,item,statute,CHAPTER 10-EXCHANGE OF CENSUS INFORMATION,TITLE 13-CENSUS,264,119,108,0,2,3,0,0,0,0,0
040_2008_000002,item,statute,CHAPTER 1-THE FLAG,"TITLE 4-FLAG AND SEAL, SEAT OF GOVERNMENT, AND THE STATES",2949,864,356,0,10,38,0,0,3,0,2
040_2008_000051,item,statute,CHAPTER 2-THE SEAL,"TITLE 4-FLAG AND SEAL, SEAT OF GOVERNMENT, AND THE STATES",61,43,40,0,2,0,0,1,0,1,0
040_2008_000054,item,statute,CHAPTER 3-SEAT OF THE GOVERNMENT,"TITLE 4-FLAG AND SEAL, SEAT OF GOVERNMENT, AND THE STATES",107,66,50,0,3,0,0,0,0,0,0
040_2008_000058,item,statute,CHAPTER 4-THE STATES,"TITLE 4-FLAG AND SEAL, SEAT OF GOVERNMENT, AND THE STATES",4988,1175,121,0,26,128,15,3,0,1,0
040_2008_000213,item,statute,CHAPTER 5-OFFICIAL TERRITORIAL PAPERS,"TITLE 4-FLAG AND SEAL, SEAT OF GOVERNMENT, AND THE STATES",616,262,103,0,6,7,4,0,0,0,0
170_2008_000002,item,statute,CHAPTER 1-SUBJECT MATTER AND SCOPE OF COPYRIGHT,TITLE 17-COPYRIGHTS,41879,4299,443,0,25,866,138,58,528,14,31
170_2008_000894,item,statute,CHAPTER 2-COPYRIGHT OWNERSHIP AND TRANSFER,TITLE 17-COPYRIGHTS,2061,532,143,0,5,39,0,2,7,2,5
170_2008_000939,item,statute,CHAPTER 3-DURATION OF COPYRIGHT,TITLE 17-COPYRIGHTS,3659,682,221,0,5,65,2,9,29,2,3
170_2008_001010,item,statute,"CHAPTER 4-COPYRIGHT NOTICE, DEPOSIT, AND REGISTRATION",TITLE 17-COPYRIGHTS,4631,966,199,0,12,97,12,15,51,5,12
170_2008_001120,item,statute,CHAPTER 5-COPYRIGHT INFRINGEMENT AND REMEDIES,TITLE 17-COPYRIGHTS,7736,1520,233,0,13,175,9,22,41,6,8
170_2008_001309,item,statute,"CHAPTER 6-MANUFACTURING REQUIREMENTS, IMPORTATION, AND EXPORTATION",TITLE 17-COPYRIGHTS,1697,421,125,0,3,38,2,5,7,3,3
170_2008_001351,item,statute,CHAPTER 7-COPYRIGHT OFFICE,TITLE 17-COPYRIGHTS,2275,670,142,0,10,44,6,13,9,7,5
170_2008_001406,item,statute,CHAPTER 8-PROCEEDINGS BY COPYRIGHT ROYALTY JUDGES,TITLE 17-COPYRIGHTS,9435,1614,379,0,5,182,34,81,41,5,5
170_2008_001594,item,statute,CHAPTER 9-PROTECTION OF SEMICONDUCTOR CHIP PRODUCTS,TITLE 17-COPYRIGHTS,5046,1047,162,0,14,99,26,1,8,1,3
170_2008_001708,item,statute,CHAPTER 10-DIGITAL AUDIO RECORDING DEVICES AND MEDIA,TITLE 17-COPYRIGHTS,4267,1007,221,4,10,107,49,2,46,2,5
170_2008_001830,item,statute,CHAPTER 11-SOUND RECORDINGS AND MUSIC VIDEOS,TITLE 17-COPYRIGHTS,197,117,39,0,1,7,0,1,1,1,1
170_2008_001839,item,statute,CHAPTER 12-COPYRIGHT PROTECTION AND MANAGEMENT SYSTEMS,TITLE 17-COPYRIGHTS,5853,1248,101,0,5,170,14,6,6,3,2
170_2008_002015,item,statute,CHAPTER 13-PROTECTION OF ORIGINAL DESIGNS,TITLE 17-COPYRIGHTS,5312,1252,263,0,32,107,19,2,7,2,1
390_2008_000003,item,statute,CHAPTER 1-POSTAL POLICY AND DEFINITIONS,TITLE 39-POSTAL SERVICE,634,299,116,0,2,18,0,4,7,1,6
390_2008_000024,item,statute,CHAPTER 2-ORGANIZATION,TITLE 39-POSTAL SERVICE,1457,427,246,0,8,22,2,1,25,1,4
390_2008_000055,item,statute,CHAPTER 4-GENERAL AUTHORITY,TITLE 39-POSTAL SERVICE,7427,1639,119,0,17,204,8,27,53,15,13
390_2008_000277,item,statute,CHAPTER 5-POSTAL REGULATORY COMMISSION,TITLE 39-POSTAL SERVICE,1347,466,107,0,5,25,0,7,11,4,3
