key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
240_2003_000002,item,statute,"CHAPTER 1-NAVY HOSPITALS, ARMY AND NAVY HOSPITAL, AND HOSPITAL RELIEF FOR SEAMEN AND OTHERS",TITLE 24-HOSPITALS AND ASYLUMS,1022,359,178,0,26,0,2,0,7,0,3
240_2003_000029,item,statute,CHAPTER 2-SOLDIERS&rsquo; AND AIRMEN'S HOME,TITLE 24-HOSPITALS AND ASYLUMS,0,0,0,0,14,0,0,0,0,0,0
240_2003_000044,item,statute,CHAPTER 3-NATIONAL HOME FOR DISABLED VOLUNTEER SOLDIERS,TITLE 24-HOSPITALS AND ASYLUMS,635,273,293,5,22,0,0,5,0,1,0
240_2003_000072,item,statute,CHAPTER 4-SAINT ELIZABETHS HOSPITAL,TITLE 24-HOSPITALS AND ASYLUMS,5383,1196,240,3,57,158,17,15,0,9,0
240_2003_000291,item,statute,CHAPTER 5-COLUMBIA INSTITUTION FOR THE DEAF,TITLE 24-HOSPITALS AND ASYLUMS,0,0,0,0,1,0,0,0,0,0,0
240_2003_000293,item,statute,CHAPTER 6-FREEDMEN'S HOSPITAL,TITLE 24-HOSPITALS AND ASYLUMS,0,0,0,0,1,0,0,0,0,0,0
240_2003_000295,item,statute,CHAPTER 7-NATIONAL CEMETERIES,TITLE 24-HOSPITALS AND ASYLUMS,91,55,48,0,10,6,0,0,1,0,1
240_2003_000312,item,statute,CHAPTER 7A-PRIVATE AND COMMERCIAL CEMETERIES,TITLE 24-HOSPITALS AND ASYLUMS,0,0,0,0,1,0,0,0,0,0,0
240_2003_000314,item,statute,CHAPTER 8-GORGAS HOSPITAL,TITLE 24-HOSPITALS AND ASYLUMS,135,79,73,0,2,0,0,0,0,0,0
240_2003_000317,item,statute,CHAPTER 9-HOSPITALIZATION OF MENTALLY ILL NATIONALS RETURNED FROM FOREIGN COUNTRIES,TITLE 24-HOSPITALS AND ASYLUMS,1593,460,228,0,9,28,15,2,1,1,1
240_2003_000355,item,statute,CHAPTER 10-ARMED FORCES RETIREMENT HOME,TITLE 24-HOSPITALS AND ASYLUMS,5754,1121,119,3,19,265,7,14,0,10,0
330_2003_000002,item,statute,CHAPTER 1-NAVIGABLE WATERS GENERALLY,TITLE 33-NAVIGATION AND NAVIGABLE WATERS,17614,2525,634,2,102,392,10,41,19,5,10
330_2003_000499,item,statute,CHAPTER 2-INTERNATIONAL RULES FOR NAVIGATION AT SEA,TITLE 33-NAVIGATION AND NAVIGABLE WATERS,0,0,0,0,13,0,0,0,0,0,0
330_2003_000513,item,statute,"CHAPTER 3-NAVIGATION RULES FOR HARBORS, RIVERS, AND INLAND WATERS GENERALLY",TITLE 33-NAVIGATION AND NAVIGABLE WATERS,291,144,74,7,11,6,2,0,6,0,3
330_2003_000538,item,statute,CHAPTER 4-NAVIGATION RULES FOR GREAT LAKES AND THEIR CONNECTING AND TRIBUTARY WATERS,TITLE 33-NAVIGATION AND NAVIGABLE WATERS,0,0,0,6,6,0,0,0,0,0,0
330_2003_000551,item,statute,CHAPTER 5-NAVIGATION RULES FOR RED RIVER OF THE NORTH AND RIVERS EMPTYING INTO GULF OF MEXICO AND TRIBUTARIES,TITLE 33-NAVIGATION AND NAVIGABLE WATERS,0,0,0,6,6,0,0,0,1,0,1
330_2003_000564,item,statute,CHAPTER 5A-EXEMPTION OF NAVY OR COAST GUARD VESSELS FROM CERTAIN NAVIGATION RULES,TITLE 33-NAVIGATION AND NAVIGABLE WATERS,0,0,0,0,1,0,0,0,0,0,0
330_2003_000566,item,statute,CHAPTER 6-GENERAL DUTIES OF SHIP OFFICERS AND OWNERS AFTER COLLISION OR OTHER ACCIDENT,TITLE 33-NAVIGATION AND NAVIGABLE WATERS,0,0,0,0,1,0,0,0,0,0,0
330_2003_000568,item,statute,CHAPTER 7-REGULATIONS FOR THE SUPPRESSION OF PIRACY,TITLE 33-NAVIGATION AND NAVIGABLE WATERS,734,205,169,0,7,0,3,0,0,0,0
330_2003_000576,item,statute,CHAPTER 8-SUMMARY TRIALS FOR CERTAIN OFFENSES AGAINST NAVIGATION LAWS,TITLE 33-NAVIGATION AND NAVIGABLE WATERS,535,224,150,0,6,0,0,0,0,0,0
330_2003_000583,item,statute,CHAPTER 9-PROTECTION OF NAVIGABLE WATERS AND OF HARBOR AND RIVER IMPROVEMENTS GENERALLY,TITLE 33-NAVIGATION AND NAVIGABLE WATERS,18290,3021,398,7,93,470,46,6,90,6,22
330_2003_001154,item,statute,CHAPTER 10-ANCHORAGE GROUNDS AND HARBOR REGULATIONS GENERALLY,TITLE 33-NAVIGATION AND NAVIGABLE WATERS,818,318,233,0,6,8,0,0,4,0,1
330_2003_001169,item,statute,CHAPTER 11-BRIDGES OVER NAVIGABLE WATERS,TITLE 33-NAVIGATION AND NAVIGABLE WATERS,7454,1268,389,4,51,48,21,6,51,5,7
330_2003_001273,item,statute,CHAPTER 12-RIVER AND HARBOR IMPROVEMENTS GENERALLY,TITLE 33-NAVIGATION AND NAVIGABLE WATERS,13383,2313,472,5,109,124,7,8,37,6,7
330_2003_001512,item,statute,CHAPTER 13-MISSISSIPPI RIVER COMMISSION,TITLE 33-NAVIGATION AND NAVIGABLE WATERS,3140,892,261,0,15,63,2,4,2,1,1
330_2003_001591,item,statute,CHAPTER 14-CALIFORNIA DEBRIS COMMISSION,TITLE 33-NAVIGATION AND NAVIGABLE WATERS,3594,908,477,0,27,2,6,0,6,0,2
