key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
290_2000_000002,item,statute,CHAPTER 1-LABOR STATISTICS,TITLE 29-LABOR,1048,402,210,2,13,2,0,0,55,0,6
290_2000_000020,item,statute,CHAPTER 2-WOMEN'S BUREAU,TITLE 29-LABOR,176,83,93,0,6,0,0,0,4,0,1
290_2000_000027,item,statute,CHAPTER 2A-CHILDREN'S BUREAU,TITLE 29-LABOR,0,0,0,0,1,0,0,0,0,0,0
290_2000_000029,item,statute,CHAPTER 3-NATIONAL TRADE UNIONS,TITLE 29-LABOR,0,0,0,0,1,0,0,0,0,0,0
290_2000_000031,item,statute,CHAPTER 4-VOCATIONAL REHABILITATION OF PERSONS INJURED IN INDUSTRY,TITLE 29-LABOR,0,0,0,0,4,0,0,0,0,0,0
290_2000_000036,item,statute,CHAPTER 4A-EMPLOYMENT STABILIZATION,TITLE 29-LABOR,0,0,0,0,3,0,0,0,0,0,0
290_2000_000040,item,statute,CHAPTER 4B-FEDERAL EMPLOYMENT SERVICE,TITLE 29-LABOR,4832,1130,230,0,22,176,6,11,34,5,12
290_2000_000239,item,statute,CHAPTER 4C-APPRENTICE LABOR,TITLE 29-LABOR,195,99,100,0,3,0,0,1,13,1,10
290_2000_000243,item,statute,CHAPTER 5-LABOR DISPUTES; MEDIATION AND INJUNCTIVE RELIEF,TITLE 29-LABOR,365,166,194,0,3,2,1,0,3,0,2
290_2000_000249,item,statute,CHAPTER 6-JURISDICTION OF COURTS IN MATTERS AFFECTING EMPLOYER AND EMPLOYEE,TITLE 29-LABOR,2125,625,239,0,14,29,4,0,4,0,3
290_2000_000293,item,statute,CHAPTER 7-LABOR-MANAGEMENT RELATIONS,TITLE 29-LABOR,16653,2519,1013,5,43,245,49,18,72,12,28
290_2000_000587,item,statute,CHAPTER 8-FAIR LABOR STANDARDS,TITLE 29-LABOR,21241,3010,430,0,21,459,100,33,218,17,64
290_2000_001068,item,statute,CHAPTER 9-PORTAL-TO-PORTAL PAY,TITLE 29-LABOR,3754,723,362,0,12,61,3,52,18,3,6
290_2000_001142,item,statute,CHAPTER 10-DISCLOSURE OF WELFARE AND PENSION PLANS,TITLE 29-LABOR,0,0,0,0,1,0,0,0,0,0,0
290_2000_001144,item,statute,CHAPTER 11-LABOR-MANAGEMENT REPORTING AND DISCLOSURE PROCEDURE,TITLE 29-LABOR,11646,2009,379,7,43,195,29,20,33,7,10
290_2000_001390,item,statute,CHAPTER 12-DEPARTMENT OF LABOR,TITLE 29-LABOR,1810,597,384,0,21,17,0,1,5,1,4
290_2000_001429,item,statute,CHAPTER 13-EXEMPLARY REHABILITATION CERTIFICATES,TITLE 29-LABOR,0,0,0,0,3,0,0,0,0,0,0
290_2000_001433,item,statute,CHAPTER 14-AGE DISCRIMINATION IN EMPLOYMENT,TITLE 29-LABOR,7246,1539,213,0,15,196,16,25,52,11,16
290_2000_001645,item,statute,CHAPTER 15-OCCUPATIONAL SAFETY AND HEALTH,TITLE 29-LABOR,15808,2420,494,0,29,379,47,27,154,18,33
