key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
090_2002_000002,item,statute,CHAPTER 1-GENERAL PROVISIONS,TITLE 9-ARBITRATION,2348,586,387,0,16,32,4,5,22,3,10
090_2002_000051,item,statute,CHAPTER 2-CONVENTION ON THE RECOGNITION AND ENFORCEMENT OF FOREIGN ARBITRAL AWARDS,TITLE 9-ARBITRATION,571,214,139,0,8,0,1,2,2,2,1
090_2002_000060,item,statute,CHAPTER 3-INTER-AMERICAN CONVENTION ON INTERNATIONAL COMMERCIAL ARBITRATION,TITLE 9-ARBITRATION,445,181,70,0,7,7,0,1,1,1,1
270_2002_000002,item,statute,CHAPTER 1-GENERAL PROVISIONS,TITLE 27-INTOXICATING LIQUORS,0,0,0,0,1,0,0,0,0,0,0
270_2002_000004,item,statute,CHAPTER 2-PROHIBITION OF INTOXICATING BEVERAGES,TITLE 27-INTOXICATING LIQUORS,0,0,0,0,10,0,0,0,0,0,0
270_2002_000015,item,statute,"CHAPTER 2A-BEER, ALE, PORTER, AND SIMILAR FERMENTED LIQUOR",TITLE 27-INTOXICATING LIQUORS,0,0,0,0,2,0,0,0,0,0,0
270_2002_000018,item,statute,CHAPTER 3-INDUSTRIAL ALCOHOL,TITLE 27-INTOXICATING LIQUORS,0,0,0,0,1,0,0,0,0,0,0
270_2002_000020,item,statute,CHAPTER 4-PENALTIES,TITLE 27-INTOXICATING LIQUORS,0,0,0,0,1,0,0,0,0,0,0
270_2002_000022,item,statute,CHAPTER 5-PROHIBITION REORGANIZATION ACT OF 1930,TITLE 27-INTOXICATING LIQUORS,0,0,0,0,1,0,0,0,0,0,0
270_2002_000024,item,statute,CHAPTER 6-TRANSPORTATION IN INTERSTATE COMMERCE,TITLE 27-INTOXICATING LIQUORS,1362,461,152,0,6,65,2,4,0,3,0
270_2002_000096,item,statute,CHAPTER 7-LIQUOR LAW REPEAL AND ENFORCEMENT ACT,TITLE 27-INTOXICATING LIQUORS,0,0,0,0,1,0,0,0,0,0,0
270_2002_000098,item,statute,CHAPTER 8-FEDERAL ALCOHOL ADMINISTRATION ACT,TITLE 27-INTOXICATING LIQUORS,7557,1487,653,2,21,130,6,2,49,2,9
270_2002_000252,item,statute,CHAPTER 9-LIQUOR ENFORCEMENT ACT OF 1936,TITLE 27-INTOXICATING LIQUORS,0,0,0,0,1,0,0,0,0,0,0
300_2002_000002,item,statute,CHAPTER 1-UNITED STATES BUREAU OF MINES,TITLE 30-MINERAL LANDS AND MINING,2064,626,377,0,23,0,2,0,5,0,5
